"Date","Price","Open","High","Low","Vol.","Change %"
"2021/05/16","1,173.40","1,238.40","1,255.80","1,171.40","2.50K","-4.30%"
"2021/05/09","1,226.10","1,257.60","1,281.20","1,203.60","1.66K","-2.53%"
"2021/05/02","1,257.90","1,207.00","1,276.40","1,199.00","1.25K","4.07%"
"2021/04/25","1,208.70","1,233.80","1,261.80","1,180.00","38.73K","-1.98%"
"2021/04/18","1,233.10","1,207.40","1,256.70","1,185.10","67.53K","2.02%"
"2021/04/11","1,208.70","1,208.30","1,212.90","1,155.60","67.94K","-0.05%"
"2021/04/04","1,209.30","1,216.90","1,252.50","1,193.20","53.98K","0.06%"
"2021/03/28","1,208.60","1,180.40","1,217.50","1,156.20","37.34K","2.28%"
"2021/03/21","1,181.70","1,200.60","1,200.60","1,148.50","49.67K","-1.86%"
"2021/03/14","1,204.10","1,211.90","1,244.00","1,175.90","18.29K","-0.02%"
"2021/03/07","1,204.40","1,137.60","1,236.10","1,124.40","14.99K","6.31%"
"2021/02/28","1,132.90","1,186.40","1,234.60","1,115.20","12.00K","-4.74%"
"2021/02/21","1,189.30","1,292.80","1,313.00","1,175.60","5.63K","-8.31%"
"2021/02/14","1,297.10","1,274.00","1,351.20","1,236.20","3.78K","2.82%"
"2021/02/07","1,261.50","1,140.60","1,282.40","1,140.60","2.40K","11.04%"
"2021/01/31","1,136.10","1,098.00","1,143.00","1,088.00","2.42K","4.86%"
"2021/01/24","1,083.40","1,110.20","1,125.30","1,059.80","35.33K","-2.54%"
"2021/01/17","1,111.60","1,079.80","1,163.40","1,072.00","55.73K","1.99%"
"2021/01/10","1,089.90","1,075.00","1,130.00","1,011.00","68.11K","1.74%"
"2021/01/03","1,071.30","1,081.00","1,142.00","1,055.00","90.32K","-0.73%"
"2020/12/27","1,079.20","1,033.10","1,091.80","1,033.10","26.10K","4.27%"
"2020/12/20","1,035.00","1,052.20","1,066.50","932.30","40.41K","-1.33%"
"2020/12/13","1,049.00","1,021.80","1,069.80","1,010.10","27.95K","2.21%"
"2020/12/06","1,026.30","1,073.80","1,081.60","1,002.00","19.32K","-4.65%"
"2020/11/29","1,076.40","975.10","1,096.50","961.60","9.11K","10.93%"
"2020/11/22","970.30","957.00","978.10","925.00","4.46K","0.96%"
"2020/11/15","961.10","898.80","970.30","894.50","3.32K","6.79%"
"2020/11/08","900.00","907.50","911.60","851.00","1.75K","-0.31%"
"2020/11/01","902.80","851.10","918.00","843.10","1.61K","5.91%"
"2020/10/25","852.40","909.80","911.00","848.80","42.12K","-5.99%"
"2020/10/18","906.70","867.70","924.10","852.10","65.39K","4.30%"
"2020/10/11","869.30","897.10","897.10","841.70","55.34K","-2.80%"
"2020/10/04","894.30","890.20","913.00","855.00","56.30K","0.33%"
"2020/09/27","891.40","891.50","919.10","873.50","48.81K","4.97%"
"2020/09/20","849.20","938.50","951.90","829.20","45.28K","-10.24%"
"2020/09/13","946.10","945.00","996.00","933.00","15.07K","0.01%"
"2020/09/06","946.00","910.80","955.20","898.80","8.14K","4.50%"
"2020/08/30","905.30","951.00","979.40","890.30","8.10K","-4.61%"
"2020/08/23","949.10","931.00","958.60","924.00","6.12K","1.75%"
"2020/08/16","932.80","971.80","995.90","911.60","2.02K","-3.42%"
"2020/08/09","965.80","985.10","1,033.00","937.50","2.01K","-1.19%"
"2020/08/02","977.40","927.00","1,036.20","921.30","1.70K","5.64%"
"2020/07/26","925.20","953.90","1,002.00","895.00","55.81K","-3.22%"
"2020/07/19","956.00","851.60","974.90","845.60","87.52K","12.52%"
"2020/07/12","849.60","845.60","870.20","825.50","47.36K","0.44%"
"2020/07/05","845.90","825.00","892.90","823.20","64.36K","1.72%"
"2020/06/28","831.60","817.00","865.00","815.40","39.78K","2.09%"
"2020/06/21","814.60","831.20","860.80","800.40","25.28K","-1.89%"
"2020/06/14","830.30","826.40","853.10","798.00","11.71K","0.65%"
"2020/06/07","824.90","844.40","876.90","815.40","12.62K","-1.33%"
"2020/05/31","836.00","877.60","909.40","823.60","8.44K","-4.44%"
"2020/05/24","874.80","882.70","904.90","850.90","3.95K","-1.22%"
"2020/05/17","885.60","817.60","931.80","817.60","6.65K","8.64%"
"2020/05/10","815.20","794.70","820.00","768.00","1.41K","3.33%"
"2020/05/03","788.90","762.80","799.70","758.60","0.69K","2.06%"
"2020/04/26","773.00","780.80","821.30","767.60","14.36K","-0.10%"
"2020/04/19","773.80","789.10","814.30","716.80","47.55K","-1.46%"
"2020/04/12","785.30","751.40","838.20","741.60","60.83K","4.90%"
"2020/04/05","748.60","718.80","760.20","718.80","37.94K","4.25%"
"2020/03/29","718.10","736.00","745.10","701.20","49.47K","-3.09%"
"2020/03/22","741.00","621.00","748.00","595.50","47.65K","18.86%"
"2020/03/15","623.40","772.40","772.40","556.00","32.78K","-16.30%"
"2020/03/08","744.80","910.00","919.00","738.00","22.77K","-17.27%"
